,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Id,Name,Age,Gender,Department,Email,Phone,Address,Salary
,,,,9,Neha Gupta,27,F,Sales,neha.gupta@hotmail.com, +91 7777777686,"901 7th St, Hyderabad, Telangana, India",49938
,,,,22,Manoj Kumar,33,M,Mangement,manoj.kumar@yahoo.com, +91 8888888797,"901 17th St, Pune, Maharashtra, India",49681
,,,,15,Kavita Sharma,30,F,Hr,kavita.sharma@yahoo.com, +91 8888888797,Address not found,49400
,,,,37,Payal Sharma,31,F,Sales,payal.sharma@gmail.com,Not available,"234 30th St, Bangalore, Karnataka, India",48367
,,,,26,Akash Patel,31,M,It Department,akash.patel@hotmail.com,Not available,"789 20th St, Mumbai, Maharashtra, India",45678
,,,,8,Aman Verma,31,M,It Devlopement,aman.verma@gmail.com, +91 8888888797,Address not found,45450
,,,,7,Divya Singh,25,M,IT DeVlopemENT,,91 9999999999,"678 6th St, Chennai, Tamil Nadu, India",45828
,,,,31,Neha Gupta,27,F,Sales,neha.gupta@gmail.com, +91 5555555464,Address not found,41841
,,,,11,Vinita Kapoor,29.5,F,Operations,vinita.kapoor@yahoo.com, +91 6666666575,"567 9th St, Ahmedabad, Gujarat, India",41836
,,,,30,Ankit Singh,29,M,It Devlopement,ankit.singh@hotmail.com,Not available,"567 24th St, Lucknow, Uttar Pradesh, India",40940
,,,,17,Priyanka Jain,26,F,Mangement,priyanka.jain@yahoo.com, +91 8765432018,Address not found,40088
,,,,32,Rajeev Sharma,32,M,Sles,rajeev.sharma@yahoo.com,Not available,"789 25th St, Jaipur, Rajasthan, India",39835
,,,,13,,26,M,Sales,,-7777777686,"321 11th St, Mumbai, Maharashtra, India",46236
,,,,38,Mohit Verma,28,M,Sles,mohit.verma@yahoo.com, +91 8888888797,"789 31st St, Mumbai, Maharashtra, India",37473
,,,,36,Sushant Patel,29,M,It Devlopement,sushant.patel@hotmail.com, +91 7777777686,"567 29th St, Ahmedabad, Gujarat, India",37358
,,,,21,Nisha Verma,26,F,Finance/Accounts,nisha.verma@hotmail.com,Not available,"789 16th St, Hyderabad, Telangana, India",35969
,,,,41,Pooja Mishra,27,F,Operaryion,pooja.mishra@yahoo.com, +91 7777777686,"234 34th St, Bhopal, Madhya Pradesh, India",35747
,,,,4,Priya Sharma,33,F,It Devlopement,priya.sharma@yahoo.com,91 5555555555,"12 4th St, New Delhi, Delhi, India",33457
,,,,6,Rakesh Kumar,34,M,Sles,rakesh.kumar@yahoo.com,Not available,"345 5th St, Jaipur, Rajasthan, India",33418
,,,,42,Mohan Kumar,29,M,Data Science,mohan.kumar@gmail.com,Not available,"567 35th St, Lucknow, Uttar Pradesh, India",32258
,,,,2,Jane Smith,28,F,Operations,jane.smith@hotmail.com,91 9876543210,"456 Park Ave, Mumbai, Maharashtra, India",31169
,,,,44,Mukesh Sharma,28,M,Finance/Accounts,mukesh.sharma@yahoo.com,Not available,"789 37th St, Chennai, Tamil Nadu, India",31064
,,,,23,,27,F,DaTa SciENce,,-7777777686,"234 18th St, Ahmedabad, Gujarat, India",45102
,,,,43,Anjali Gupta,26,F,Sles,anjali.gupta@hotmail.com, +91 5555555464,"654 36th St, Jaipur, Rajasthan, India",31047
,,,,39,Kavita Singh,33,F,Hr,kavita.singh@hotmail.com, +91 9999999908,"901 32nd St, Kolkata, West Bengal, India",30628
,,,,34,Vinay Singh,30,M,Mangement,vinay.singh@gmail.com,Not available,"321 27th St, Hyderabad, Telangana, India",29480
,,,,16,Manish Patel,32,M,Finance/Accounts,manish.patel@hotmail.com, +91 1234567799,"987 13th St, New Delhi, Delhi, India",28476
,,,,49,Sandeep Singh,29.5,M,It Devlopement,sandeep.singh@yahoo.com, +91 5555555464,"321 41st St, Bangalore, Karnataka, India",23055
,,,,40,Ankit Patel,30,M,Hr,ankit.patel@gmail.com,Not available,"321 33rd St, Patna, Bihar, India",22018
,,,,14,Swati Singh,28,F,Sales,swati.singh@gmail.com,Not available,"654 12th St, Kolkata, West Bengal, India",21978
,,,,5,Jane Doe,29,F,Sales,jane.doe@gmail.com,Not available,Address not found,21918
,,,,46,Divya Patel,27,F,Data Science,divya.patel@yahoo.com, +91 7777777686,"567 38th St, Hyderabad, Telangana, India",20205
,,,,50,Shalini Sharma,30,F,Sales,shalini.sharma@gmail.com,Not available,"789 42nd St, Mumbai, Maharashtra, India",18647
,,,,24,Sanjay Gupta,29,M,Data Science,sanjay.gupta@gmail.com,91 6666666666,Address not found,15853
,,,,48,Aditi Shah,32,F,Hr,aditi.shah@hotmail.com, +91 6666666575,"901 40th St, Ahmedabad, Gujarat, India",15531
,,,,35,Priya Gupta,29.5,F,Data Science,priya.gupta@yahoo.com, +91 5555555464,"901 28th St, Pune, Maharashtra, India",14254
,,,,12,Rajeev Kumar,29,M,It Department,rajeev.kumar@hotmail.com, +91 5555555464,"789 10th St, Bangalore, Karnataka, India",11901
,,,,29,Swati Mishra,26,F,Data Science,swati.mishra@yahoo.com, +91 7777777686,"234 23rd St, Bhopal, Madhya Pradesh, India",11342
,,,,3,Amit Patel,27,M,It Department,amit.patel@gmail.com,91 8765432109,"789 3rd St, Kolkata, West Bengal, India",11116
,,,,10,Naveen Sharma,35,M,Sles,naveen.sharma@gmail.com,Not available,"234 8th St, Pune, Maharashtra, India",9818
,,,,33,Sarika Patel,33,F,Finance/Accounts,sarika.patel@hotmail.com, +91 6666666575,"654 26th St, Chennai, Tamil Nadu, India",9577
,,,,47,Gaurav Kumar,29,M,Hr,gaurav.kumar@gmail.com,Not available,"234 39th St, Pune, Maharashtra, India",8746
,,,,27,Preeti Singh,28,F,Finance/Accounts,preeti.singh@gmail.com, +91 7777777686,"321 21st St, Kolkata, West Bengal, India",8022
,,,,25,Anjali Sharma,29.5,F,Operations,anjali.sharma@yahoo.com, +91 5555555464,"567 19th St, Bangalore, Karnataka, India",6926
,,,,1,John Doe,32,M,Department,john.doe@gmail.com,91 1234567890,"123 Main St, Bangalore, Karnataka, India",4553
,,,,28,Ravi Kumar,34,M,Mangement,ravi.kumar@gmail.com, +91 8888888797,"901 22nd St, Patna, Bihar, India",3484
,,,,19,Deepika Singh,30,F,Data Science,deepika.singh@yahoo.com, +91 5555555464,"321 15th St, Chennai, Tamil Nadu, India",3337
,,,,45,Arjun Singh,31,M,Mangement,arjun.singh@gmail.com, +91 8888888797,Address not found,3108
,,,,18,Rohit Sharma,28,M,Data Science,rohit.sharma@gmail.com, +91 9876543119,"654 14th St, Jaipur, Rajasthan, India",2949
,,,,20,Vikas Joshi,32,M,Data Science,vikas.joshi@gmail.com, +91 9999999908,Address not found,2857
